Incident ID,Year,Publishing Agency Name,Publishing Agency Unit,Agency Type Name,State Abbreviation,State Name,Division Name,Region Name,Incident Date,Offender Race,Offender Ethnicity,Victim Count,Offense Name,Total Individual Victims,Location Name,Bias Description,Victim Types,Multiple Offense,Multiple Bias
37173,1996,Pittsburgh,,City,PA,Pennsylvania,Middle Atlantic,Northeast,1996-12-08,White,Not Specified,1,Intimidation,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
38720,1996,Pueblo,,City,CO,Colorado,Mountain,West,1996-12-10,Unknown,Not Specified,1,Intimidation,1,Residence/Home,Anti-Asian,Individual,S,S
35133,1996,Boston,,City,MA,Massachusetts,New England,Northeast,1996-12-13,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,1,Residence/Home,Anti-Asian,Individual,S,S
38322,1996,Oak Grove,,City,KY,Kentucky,East South Central,South,1996-12-14,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0,Church/Synagogue/Temple/Mosque,Anti-Asian,Religious Organization,S,S
33823,1996,San Francisco,,City,CA,California,Pacific,West,1996-12-14,Black or African American,Not Specified,2,Aggravated Assault,2,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
38107,1996,Los Angeles,,City,CA,California,Pacific,West,1996-12-14,White,Not Specified,1,Simple Assault,1,Restaurant,Anti-Asian,Individual,S,S
33825,1996,San Francisco,,City,CA,California,Pacific,West,1996-12-18,Black or African American,Not Specified,1,Robbery,1,Other/Unknown,Anti-Asian,Individual,S,S
38654,1996,Palm Springs,,City,CA,California,Pacific,West,1996-12-19,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,1,Parking/Drop Lot/Garage,Anti-Asian,Individual,S,S
34839,1996,Baltimore County Police Department,,County,MD,Maryland,South Atlantic,South,1996-12-20,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,1,Other/Unknown,Anti-Asian,Individual,S,S
38111,1996,Los Angeles,,City,CA,California,Pacific,West,1996-12-21,White,Not Specified,1,Simple Assault,1,Liquor Store,Anti-Asian,Individual,S,S
33351,1996,Pasadena,,City,CA,California,Pacific,West,1996-12-23,Unknown,Not Specified,1,Intimidation,1,Residence/Home,Anti-Asian,Individual,S,S
33892,1996,Redding,,City,CA,California,Pacific,West,1996-12-23,White,Not Specified,1,Simple Assault,1,Jail/Prison/Penitentiary/Corrections Facility,Anti-Asian,Individual,S,S
34840,1996,Baltimore County Police Department,,County,MD,Maryland,South Atlantic,South,1996-12-24,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
37842,1996,Tumwater,,City,WA,Washington,Pacific,West,1996-12-26,White,Not Specified,1,Intimidation,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
